change_point,feature,cohens_d,interpretation,pre_mean,post_mean,delta,pct_change,statistic,p_value,alpha_corrected,significant
24,mean,-1.7818377334048003,Large,15.099090948111458,14.024080480752682,-1.0750104673587764,-7.119703239440617,92.0,0.0017062493689195964,0.002380952380952381,True
24,cv,1.406892621118133,Large,0.2557592281874367,0.3064261884216021,0.05066696023416539,19.810413330240976,11.0,0.0036105143123296027,0.002380952380952381,False
24,skewness,-0.13564193437890712,Trivial,-0.04016607037953883,-0.0735260142775627,-0.03335994389802387,83.05503521454241,58.0,0.5707503880581739,0.002380952380952381,False
24,pct_severe,-0.7813257719355917,Medium,9.315558115965883,6.964429756449159,-2.351128359516724,-25.238727838401203,72.0,0.10384958179697429,0.002380952380952381,False
24,median,-1.480551032660282,Large,15.025569471651735,14.070689071693753,-0.9548803999579825,-6.355036338286711,85.0,0.009108496398030965,0.002380952380952381,False
24,quartile_cv,1.14489207169143,Large,0.32832364567582867,0.41727800576606117,0.0889543600902325,27.09349791335524,19.0,0.0211339281291611,0.002380952380952381,False
24,bowley_skew,-0.0998206384244998,Trivial,0.0759170206466711,0.058114127231047016,-0.017802893415624077,-23.45046376158694,48.0,0.9097218891455553,0.002380952380952381,False
57,mean,-1.2195566646011202,Large,13.159734581980143,12.301657246224583,-0.85807733575556,-6.520476005120503,80.0,0.025748080821108063,0.002380952380952381,False
57,cv,1.1760219910776113,Large,0.3263329390484169,0.36942555984924086,0.04309262080082393,13.205109152168799,14.0,0.00728455700947966,0.002380952380952381,False
57,skewness,0.3663276167296372,Small,-0.193564675619938,-0.08410261373731913,0.10946206188261888,-56.55063948628022,40.0,0.47267559351158717,0.002380952380952381,False
57,pct_severe,-0.14897479748205922,Trivial,4.723283658587678,4.252379199747621,-0.4709044588400575,-9.969853451081189,55.0,0.7330533287800427,0.002380952380952381,False
57,median,-1.2847088268535658,Large,13.196997434869294,12.335793082712453,-0.8612043521568413,-6.525759790491092,79.0,0.031209012771740218,0.002380952380952381,False
57,quartile_cv,0.49930137261600205,Small,0.4202432293083656,0.460828901545138,0.0405856722367724,9.657662374137024,34.0,0.24132159301718004,0.002380952380952381,False
57,bowley_skew,-0.15672046688977012,Trivial,0.06987364303153544,0.044780177230599134,-0.025093465800936306,-35.9126341668075,64.0,0.3074894566186813,0.002380952380952381,False
133,mean,-0.2090363847955839,Small,10.805844032610157,10.634363783932907,-0.1714802486772502,-1.5869213747649202,55.0,0.7337299956962472,0.002380952380952381,False
133,cv,0.9773497813485662,Large,0.3791767513201837,0.42914850291857964,0.04997175159839595,13.179012538191959,17.0,0.014019277113959953,0.002380952380952381,False
133,skewness,0.17473383581152474,Trivial,0.029890767888589388,0.09599295779999445,0.06610218991140507,221.14584060799308,47.0,0.8501067391385259,0.002380952380952381,False
133,pct_severe,0.3627586226165294,Small,1.3136898096304592,2.220284977527328,0.9065951678968687,69.01135726643824,38.5,0.3479709165794257,0.002380952380952381,False
133,median,-0.40223320416111197,Small,10.727354203712988,10.337870848979868,-0.38948335473311957,-3.6307494591565765,64.0,0.3074894566186813,0.002380952380952381,False
133,quartile_cv,0.15130460690152706,Trivial,0.4832274424114994,0.5002412957512028,0.0170138533397034,3.520878958114925,41.0,0.5205228832757727,0.002380952380952381,False
133,bowley_skew,0.5054182424850655,Medium,0.021297612174896268,0.1274800141697448,0.10618240199484853,498.5648208957759,37.0,0.3447042220069576,0.002380952380952381,False
